Time,cont,disc
0,1,1
0.000200950914520766,0.994321536352469,1
0.00120095091452077,0.966304214651547,1
0.00220095091452077,0.938687525230063,1
0.00320095091452077,0.911471181407787,1
0.00420095091452077,0.884654746613191,1
0.00520095091452077,0.858237638737833,1
0.00620095091452077,0.832219134426638,1
0.00720095091452077,0.806598373304187,1
0.00820095091452077,0.78137436213712,1
0.00920095091452077,0.756545978932801,1
0.01,0.736990413308877,1
0.011,0.71287056411776,0.967701723126639
0.012,0.689142551858754,0.935403446253279
0.013,0.66580480162147,0.903105169379918
0.014,0.64285562852469,0.870806892506557
0.015,0.62029324144923,0.838508615633196
0.016,0.598115746708526,0.806210338759836
0.017,0.576321151657278,0.773912061886475
0.018,0.554907368238418,0.741613785013114
0.019,0.53387221646875,0.709315508139753
0.02,0.513213427863583,0.677017231266393
0.021,0.492928648800726,0.640718910125167
0.022,0.473015443824184,0.604420588983942
0.023,0.453471298887963,0.568122267842716
0.024,0.434293624540351,0.531823946701491
0.025,0.415479759049104,0.495525625560265
0.026,0.397026971467929,0.45922730441904
0.027,0.378932464644709,0.422928983277814
0.028,0.361193378171908,0.386630662136588
0.029,0.343806791279594,0.350332340995363
0.03,0.326769725671555,0.314034019854138
0.031,0.310079148304965,0.28416744133493
0.032,0.29373197411409,0.254300862815722
0.033,0.277725068678512,0.224434284296515
0.034,0.262055250836367,0.194567705777307
0.035,0.246719295243108,0.164701127258099
0.036,0.231713934876301,0.134834548738891
0.037,0.217035863486963,0.104967970219684
0.038,0.202681737997982,0.0751013917004759
0.039,0.188648180850138,0.0452348131812681
0.04,0.174931782296263,0.0153682346620606
0.041,0.161529102644091,-0.0054827104897454
0.042,0.148436674448334,-0.0263336556415514
0.043,0.135651004652543,-0.0471846007933573
0.044,0.123168576681304,-0.0680355459451633
0.045,0.110985852483345,-0.0888864910969693
0.046,0.0990992745260926,-0.109737436248775
0.047,0.0875052677422692,-0.130588381400581
0.048,0.076200241429092,-0.151439326552387
0.049,0.0651805911006452,-0.172290271704193
0.05,0.0544427002940047,-0.193141216855999
0.051,0.0439829423296933,-0.205601921766104
0.052,0.0337976820270449,-0.218062626676208
0.053,0.0238832773750609,-0.230523331586313
0.054,0.0142360811593398,-0.242984036496418
0.055,0.00485244254566555,-0.255444741406522
0.056,-0.00427129137916069,-0.267905446316627
0.057,-0.0131387741086614,-0.280366151226732
0.058,-0.0217536582596093,-0.292826856136836
0.059,-0.0301195941559538,-0.305287561046941
0.06,-0.0382402284531634,-0.317748265957046
0.061,-0.0461192028023975,-0.323535948490275
0.062,-0.0537601525539231,-0.329323631023504
0.063,-0.0611667054991938,-0.335111313556733
0.064,-0.0683424806510076,-0.340898996089962
0.065,-0.0752910870611629,-0.346686678623191
0.066,-0.082016122675031,-0.35247436115642
0.067,-0.0885211732224699,-0.358262043689649
0.068,-0.0948098111444989,-0.364049726222878
0.069,-0.100885594555163,-0.369837408756106
0.07,-0.106752066238015,-0.375625091289335
0.071,-0.112412752676636,-0.376615607432953
0.072,-0.117871163118645,-0.377606123576571
0.073,-0.123130788672616,-0.378596639720188
0.074,-0.128195101437343,-0.379587155863806
0.075,-0.133067553662904,-0.380577672007424
0.076,-0.137751576942957,-0.381568188151041
0.077,-0.14225058143772,-0.382558704294659
0.078,-0.146567955127079,-0.383549220438277
0.079,-0.150707063093294,-0.384539736581894
0.08,-0.154671246832738,-0.385530252725512
0.081,-0.158463823596149,-0.383380440010131
0.082,-0.162088085756844,-0.38123062729475
0.083,-0.165547300206385,-0.379080814579368
0.084,-0.168844707777142,-0.376931001863987
0.085,-0.171983522691256,-0.374781189148606
0.086,-0.174966932035462,-0.372631376433224
0.087,-0.177798095261279,-0.370481563717843
0.088,-0.180480143710031,-0.368331751002462
0.089,-0.183016180162218,-0.366181938287081
0.09,-0.185409278410714,-0.364032125571699
0.091,-0.187662482857318,-0.360059876216499
0.092,-0.189778808132144,-0.356087626861299
0.093,-0.19176123873537,-0.352115377506098
0.094,-0.193612728700877,-0.348143128150898
0.095,-0.195336201281278,-0.344170878795698
0.096,-0.196934548653881,-0.340198629440497
0.097,-0.198410631647104,-0.336226380085297
0.098,-0.199767279486899,-0.332254130730097
0.099,-0.201007289562703,-0.328281881374896
0.1,-0.202133427212482,-0.324309632019696
0.101,-0.20314842552641,-0.319489597050065
0.102,-0.204054985168747,-0.314669562080434
0.103,-0.204855774217471,-0.309849527110803
0.104,-0.205553428021242,-0.305029492141172
0.105,-0.206150549073254,-0.300209457171541
0.106,-0.20664970690158,-0.29538942220191
0.107,-0.20705343797556,-0.290569387232279
0.108,-0.207364245627858,-0.285749352262648
0.109,-0.207584599991741,-0.280929317293017
0.11,-0.207716937953223,-0.276109282323386
0.111,-0.207763663117636,-0.271116070831387
0.112,-0.207727145790279,-0.266122859339387
0.113,-0.20760972297072,-0.261129647847387
0.114,-0.207413698360409,-0.256136436355387
0.115,-0.207141342383203,-0.251143224863387
0.116,-0.206794892218441,-0.246150013371388
0.117,-0.206376551846211,-0.241156801879388
0.118,-0.205888492104448,-0.236163590387388
0.119,-0.205332850757505,-0.231170378895388
0.12,-0.204711732575858,-0.226177167403389
0.121,-0.204027209426598,-0.221443491266699
0.122,-0.203281320374378,-0.21670981513001
0.123,-0.202476071792474,-0.211976138993321
0.124,-0.201613437483646,-0.207242462856631
0.125,-0.200695358810467,-0.202508786719942
0.126,-0.199723744834815,-0.197775110583253
0.127,-0.19870047246621,-0.193041434446563
0.128,-0.197627386618686,-0.188307758309874
0.129,-0.196506300375919,-0.183574082173185
0.13,-0.195338995164281,-0.178840406036495
0.131,-0.194127220933575,-0.174615001820303
0.132,-0.192872696345116,-0.17038959760411
0.133,-0.191577108966924,-0.166164193387917
0.134,-0.190242115475722,-0.161938789171724
0.135,-0.188869341865486,-0.157713384955532
0.136,-0.187460383662273,-0.153487980739339
0.137,-0.186016806145076,-0.149262576523146
0.138,-0.184540144572444,-0.145037172306954
0.139,-0.183031904414613,-0.140811768090761
0.14,-0.181493561590918,-0.136586363874568
0.141,-0.179926562712228,-0.132985136801298
0.142,-0.178332325328178,-0.129383909728027
0.143,-0.176712238178963,-0.125782682654757
0.144,-0.175067661451472,-0.122181455581486
0.145,-0.173399927039529,-0.118580228508216
0.146,-0.171710338808043,-0.114979001434946
0.147,-0.170000172860829,-0.111377774361675
0.148,-0.168270677811912,-0.107776547288405
0.149,-0.166523075060106,-0.104175320215134
0.15,-0.164758559066655,-0.100574093141864
0.151,-0.16297829763576,-0.0976222292803292
0.152,-0.161183432197788,-0.0946703654187944
0.153,-0.159375078094981,-0.0917185015572597
0.154,-0.157554324869485,-0.0887666376957249
0.155,-0.155722236553512,-0.0858147738341902
0.156,-0.153879851961468,-0.0828629099726555
0.157,-0.152028184983885,-0.0799110461111207
0.158,-0.150168224882964,-0.076959182249586
0.159,-0.148300936589603,-0.0740073183880512
0.16,-0.146427261001721,-0.0710554545265165
0.161,-0.144548115283741,-0.0687203734540601
0.162,-0.142664393167079,-0.0663852923816037
0.163,-0.140776965251483,-0.0640502113091473
0.164,-0.138886679307098,-0.0617151302366908
0.165,-0.1369943605771,-0.0593800491642344
0.166,-0.135100812080765,-0.057044968091778
0.167,-0.133206814916861,-0.0547098870193216
0.168,-0.131313128567204,-0.0523748059468652
0.169,-0.129420491200285,-0.0500397248744088
0.17,-0.127529619974816,-0.0477046438019524
0.171,-0.125641211343104,-0.0459206630676513
0.172,-0.123755941354124,-0.0441366823333503
0.173,-0.121874465956176,-0.0423527015990492
0.174,-0.119997421299034,-0.0405687208647481
0.175,-0.118125424035467,-0.0387847401304471
0.176,-0.116259071622039,-0.037000759396146
0.177,-0.114398942619083,-0.0352167786618449
0.178,-0.112545596989767,-0.0334327979275439
0.179,-0.110699576398135,-0.0316488171932428
0.18,-0.108861404506066,-0.0298648364589418
0.181,-0.107031587269032,-0.0285508217110608
0.182,-0.105210613230599,-0.0272368069631799
0.183,-0.103398953815569,-0.0259227922152989
0.184,-0.1015970636217,-0.0246087774674179
0.185,-0.0998053807099206,-0.0232947627195369
0.186,-0.0980243268929702,-0.021980747971656
0.187,-0.0962543080223905,-0.020666733223775
0.188,-0.0944957142738086,-0.019352718475894
0.189,-0.09274892043044,-0.018038703728013
0.19,-0.0910142861647527,-0.0167246889801321
0.191,-0.0892921563182317,-0.0157960485821925
0.192,-0.0875828611791871,-0.014867408184253
0.193,-0.0858867167585496,-0.0139387677863134
0.194,-0.0842040250636028,-0.0130101273883739
0.195,-0.0825350743696,-0.0120814869904344
0.196,-0.080880139489218,-0.0111528465924948
0.197,-0.0792394820398029,-0.0102242061945553
0.198,-0.0776133507083629,-0.00929556579661575
0.199,-0.0760019815142666,-0.00836692539867621
0.2,-0.0744055980696083,-0.00743828500073668
0.201,-0.0728244118372009,-0.00681458805633622
0.202,-0.0712586223861633,-0.00619089111193576
0.203,-0.0697084176450656,-0.0055671941675353
0.204,-0.0681739741526032,-0.00494349722313484
0.205,-0.066655457305768,-0.00431980027873438
0.206,-0.0651530216054898,-0.00369610333433392
0.207,-0.0636668108997209,-0.00307240638993346
0.208,-0.0621969586239395,-0.002448709445533
0.209,-0.0607435880390496,-0.00182501250113254
0.21,-0.0593068124666556,-0.00120131555673209
0.211,-0.0578867355216918,-0.000810653962929225
0.212,-0.0564834513423903,-0.000419992369126356
0.213,-0.0550970448175693,-2.93307753234872e-05
0.214,-0.0537275918112272,0.000361330818479381
0.215,-0.0523751593844303,0.00075199241228225
0.216,-0.0510398060144803,0.00114265400608512
0.217,-0.0497215818113529,0.00153331559988799
0.218,-0.0484205287313963,0.00192397719369086
0.219,-0.047136680788284,0.00231463878749372
0.22,-0.0458700642612132,0.00270530038129659
0.221,-0.0446206979003447,0.00292427207842625
0.222,-0.0433885931294809,0.00314324377555591
0.223,-0.0421737542459768,0.00336221547268557
0.224,-0.0409761786178844,0.00358118716981523
0.225,-0.0397958568783297,0.00380015886694489
0.226,-0.0386327731171218,0.00401913056407455
0.227,-0.0374869050695962,0.00423810226120421
0.228,-0.0363582243026961,0.00445707395833387
0.229,-0.0352466963982935,0.00467604565546353
0.23,-0.0341522811337564,0.00489501735259319
0.231,-0.0330749326597668,0.00499261740192512
0.232,-0.0320145996753963,0.00509021745125705
0.233,-0.0309712256004472,0.00518781750058898
0.234,-0.0299447487450666,0.00528541754992091
0.235,-0.0289351024766438,0.00538301759925284
0.236,-0.0279422153839995,0.00548061764858477
0.237,-0.0269660114388794,0.0055782176979167
0.238,-0.0260064101547618,0.00567581774724862
0.239,-0.0250633267429935,0.00577341779658055
0.24,-0.0241366722662648,0.00587101784591248
0.241,-0.0232263537894399,0.00588707248894812
0.242,-0.0223322745277541,0.00590312713198375
0.243,-0.0214543339923953,0.00591918177501939
0.244,-0.020592428133484,0.00593523641805503
0.245,-0.0197464494804683,0.00595129106109066
0.246,-0.018916287279951,0.0059673457041263
0.247,-0.0181018276309656,0.00598340034716194
0.248,-0.017302953617719,0.00599945499019757
0.249,-0.01651954543982,0.00601550963323321
0.25,-0.0157514805400117,0.00603156427626885
0.251,-0.0149986337294267,0.00599651549904038
0.252,-0.0142608773103862,0.00596146672181191
0.253,-0.0135380811967616,0.00592641794458345
0.254,-0.01283011303192,0.00589136916735498
0.255,-0.0121368383042744,0.00585632039012652
0.256,-0.0114581204604595,0.00582127161289805
0.257,-0.0107938210161553,0.00578622283566959
0.258,-0.0101437996645795,0.00575117405844112
0.259,-0.00950791438267256,0.00571612528121265
0.26,-0.00888602153499552,0.00568107650398419
0.261,-0.00827797597536612,0.00561735802241597
0.262,-0.00768363114625409,0.00555363954084775
0.263,-0.00710283917596011,0.00548992105927953
0.264,-0.00653545097360147,0.00542620257771131
0.265,-0.00598131632192845,0.00536248409614309
0.266,-0.00544028396799504,0.00529876561457487
0.267,-0.00491220171170839,0.00523504713300665
